object_id,raj2000,dej2000,uv,vg,gr,ri,iz
286334474,135.684269,-73.471012,0.36599922,1.3330002,-0.20700073,0.18600082,0.055000305
286279574,137.766102,-73.363424,0.15199852,1.8730011,-0.08600044,0.27799988,0.065000534
286334159,135.617507,-73.551665,0.34799957,1.3120003,-0.055999756,0.1800003,0.04300022
286333618,135.664226,-73.213046,0.38500023,1.4919996,-0.05700016,0.22300053,-0.03600025
286281739,137.868513,-72.905409,0.42500114,1.5559988,-0.035999298,0.28899956,0.041000366
286281813,137.735814,-72.933872,0.43700027,1.4169998,-0.044000626,0.24900055,0.02199936
286327378,136.781969,-73.713196,0.3069992,1.105999,-0.03699875,0.1989994,-0.065999985
286279633,137.699385,-73.27115,0.33799934,1.7959995,-0.062999725,0.2130003,0.072999954
286326322,137.264585,-73.530844,0.5459995,1.1050005,-0.022000313,0.09300041,0.06400013
286279438,137.787698,-73.526307,0.43300056,1.0869999,-0.08199978,0.040999413,0.038000107
286326197,137.548263,-73.528221,0.44099998,1.203001,-0.109000206,0.116999626,0.04699993
286278865,137.684176,-73.21227,0.49399948,1.5999994,-0.07199955,0.27700043,0.063999176
286284801,137.687272,-73.195964,0.55000114,1.6539993,-0.11899948,0.27400017,0.05799961
286354458,132.481247,-74.113766,0.069999695,1.7150002,-0.037000656,0.27800083,0.024999619
286354465,132.470071,-74.149099,0.11999893,1.4460001,-0.10399914,0.24399948,0.08500004
286354468,132.46616,-74.156364,0.4090004,1.5050001,-0.09599972,0.35099983,-0.020000458
286355126,132.481221,-74.274807,0.40600014,1.2519989,-0.080999374,0.10899925,0.03900051
286353002,132.497578,-73.801283,0.40499878,1.2440014,-0.013000488,0.15600014,0.04300022
286355614,132.463218,-73.952147,0.5189991,1.3010006,-0.09799957,0.15999985,0.072999954
286348423,133.527926,-74.389634,0.30900002,1.5139999,-0.11300087,0.19799995,0.05600071
286353590,133.56691,-74.235922,0.50099945,1.2850008,-0.20399952,0.16899967,-0.023000717
286354140,132.995015,-74.146269,0.4680004,1.2909994,-0.10099983,0.22700024,-0.019000053
286354158,132.958521,-74.120526,0.3789997,1.4650002,-0.066999435,0.29299927,0.10700035
286351001,133.553583,-74.157101,0.032001495,1.4370003,-0.1970005,0.26599884,0.07999992
286353631,133.527034,-74.247996,0.49399948,1.3760004,-0.07700062,0.20600128,-0.044000626
286353633,133.510015,-74.272106,0.44600105,1.3140001,-0.052000046,0.21299934,0.038000107
286350959,133.573571,-74.09185,0.30800056,1.8170004,-0.028000832,0.24600029,0.0
286350983,133.567042,-74.128598,0.47200012,1.2709999,-0.10999966,0.123000145,-0.015999794
286350986,133.652577,-74.167731,0.46500015,1.3650007,-0.022000313,0.25699997,0.020000458
286351008,133.535076,-74.111778,0.17000008,1.5609989,-0.11000061,0.21000099,0.044000626
286332791,136.697754,-73.455922,0.07999992,1.4949999,-0.031000137,0.051000595,0.14999962
286332801,136.657299,-73.463338,0.37599945,1.1789999,-0.07800007,0.23799992,-0.03999996
286286099,136.676767,-73.222139,0.36400032,1.7230005,-0.06099987,0.23600006,0.069999695
6617417,13.019792,-28.448021,0.6120014,1.0219994,-0.069999695,0.3179989,-0.060998917
286351085,133.558198,-73.914955,0.2860012,1.6809998,-0.038000107,0.2689991,0.006000519
286350963,133.512652,-74.068678,0.37199974,1.5180006,-0.059000015,0.19199944,0.0089998245
286344957,134.437593,-74.127094,0.40400124,1.3619995,-0.013000488,0.26399994,0.022000313
286350652,134.29586,-74.153211,0.5109997,1.2590008,-0.036999702,0.21000004,-0.010000229
286344944,134.533524,-74.149914,0.1420002,1.6130009,-0.08100128,0.2780018,0.01999855
286344971,134.408075,-74.160595,0.4869995,1.25,-0.073999405,0.17399979,0.056999207
286345014,134.270117,-74.173964,0.31599998,1.4389992,-0.119000435,0.21700001,0.09100056
286350671,134.104761,-74.173985,0.36600113,1.6949997,-0.072999954,0.20499992,0.22799969
286350683,134.063684,-74.125988,0.7989998,1.1730003,-0.24699974,0.059000015,-0.032001495
286350699,134.01723,-74.134458,0.45500183,1.1629992,-0.027999878,0.21399975,0.036999702
286350816,134.019642,-74.165934,-0.0030002594,1.6370001,-0.08500004,0.2520008,0.042999268
286349707,134.626187,-73.931062,0.5360012,1.3999996,-0.065999985,0.20100021,0.072999954
286351133,133.53456,-73.952774,0.24499893,1.5270004,-0.20199966,0.2329998,0.10300064
