object_id,raj2000,dej2000,uv,vg,gr,ri,iz
3169748,317.744174,-6.715545,-0.13800049,-0.038999557,-0.29599953,-0.41399956,-0.2820015
3176063,318.122792,-6.681123,-0.14299965,-0.0020008087,-0.2839985,-0.47200012,-0.09800148
3236385,323.075948,-10.764988,-0.17000008,-0.1779995,-0.29199982,-0.52400017,-0.30599976
3266914,320.294948,-6.999437,0.034000397,-0.20999908,-0.27100182,-0.4239998,-0.355999
3382453,318.548519,-3.324518,0.1819992,-0.065000534,-0.21899986,-0.46899986,0.2480011
3547552,319.644114,-2.308627,-0.09799957,-0.17400074,-0.289999,-0.4430008,-0.23399925
3561961,320.586192,-1.434985,0.033000946,-0.31400108,-0.25699997,-0.40399933,0.077999115
3601690,322.151798,-1.591665,-0.07199955,-0.119000435,-0.29999924,-0.43099976,-0.3180008
3621268,323.122479,-0.80871,0.11899948,-0.083999634,-0.22699928,-0.44099998,-0.2119999
3624897,322.870209,-0.639728,0.016998291,-0.028999329,-0.2119999,-0.40399933,-0.069999695
3708760,325.203535,-6.28823,-0.15800095,-0.26199913,-0.21600151,-0.5339985,0.02199936
3758417,328.631315,-9.791729,-0.07700062,-0.3449993,-0.26600075,-0.47500038,-0.30399895
3957875,323.396654,-0.885689,0.33200073,0.072999954,-0.09399986,-0.46700096,-0.03299904
4175259,335.256627,-23.451185,-0.083999634,0.18700027,-0.20499992,-0.4239998,-0.27200127
4237946,335.167317,-18.869246,-0.0720005,0.13800049,-0.16400146,-0.49699974,-0.14699936
4370321,335.167378,-17.815614,0.88000107,0.3239994,-0.045999527,-0.44600105,0.144001
4508450,345.002636,-19.494709,0.073999405,0.19199944,-0.25099945,-0.41399956,-0.12400055
4696590,356.162786,-25.343365,0.03299904,0.18099976,-0.1949997,-0.4680004,-0.2669983
4910568,354.865659,-19.646811,-0.10000038,0.10499954,-0.27400017,-0.4319992,-0.26099968
4946153,359.833542,-18.720951,-0.032001495,0.13400078,-0.13999939,-0.42700005,-0.18900108
5057437,336.467973,-9.999395,-0.10099983,-0.28300095,-0.25600052,-0.41699982,-0.414999
5070992,334.401598,-9.112748,0.048000336,0.21800041,-0.19799995,-0.49699974,-0.23700142
5130545,339.524858,-12.513565,0.86999893,0.16900063,-0.07900047,-0.44000053,0.48600006
5160612,344.053936,-13.327552,-0.04699993,0.069000244,-0.23200035,-0.47800064,-0.23900032
5214342,341.78906,-7.452001,1.9019995,0.3949995,-0.07199955,-0.47000027,0.09399986
5265642,334.383504,-4.818556,-0.09399986,-0.034999847,-0.08300018,-0.50699997,-0.30799866
5346768,335.513807,-0.527238,-0.13199997,-0.18799973,-0.2989998,-0.47400093,-0.18400002
5410500,339.682003,-4.124779,-0.022000313,-0.10199928,-0.26399994,-0.4140005,-0.27499962
