object_id,raj2000,dej2000,uv,vg,gr,ri,iz
41617291,114.328878,-9.646794,0.71600056,1.4260006,0.559,-1.6370001,0.05799961
44708273,125.348534,-18.362033,1.0130005,0.44099998,0.062999725,-0.4659996,0.34899998
45161715,117.015318,-14.127881,0.031999588,-0.23699951,0.14599991,-0.45600033,-0.23900032
45557450,126.314917,-16.096154,1.0339985,0.21300125,0.25,-0.5610008,-0.038000107
47585325,124.194399,-4.038993,0.82199955,0.22599983,0.009000778,-0.69000053,0.40000057
48749840,138.40842,-34.747469,-0.13400078,-0.2989998,0.038000107,-0.5450001,-0.1949997
50153358,146.92339,-33.680345,0.76600075,0.7379999,0.5199995,-0.5439997,0.038000107
54210031,164.735077,-29.244623,0.7630005,-1.5469999,1.3999996,-0.9549999,0.5439997
54470189,169.567295,-32.786672,-0.08800125,-0.13399887,0.020999908,-0.42900085,0.10200119
56751671,149.072698,-3.864975,0.058000565,-0.031999588,0.042999268,-0.43700027,-0.051000595
58192027,153.527345,-5.925557,-9.994507E-4,0.12299919,0.29199982,-0.41899872,0.09799957
58192389,153.745818,-5.683967,0.9260006,-0.12899971,0.44099998,-0.46700096,0.26399994
58387623,164.222412,-1.839384,-0.069000244,0.38599968,0.012001038,-0.49100113,-0.2840004
58856850,175.547663,-3.236962,0.4829998,0.11100006,0.016000748,-0.5109997,0.3029995
59542064,185.144259,-37.572511,0.79100037,0.35899925,0.29300117,-0.54600143,0.5700016
60171602,196.490802,-39.753593,0.19199944,-0.0890007,0.14700127,-0.57500076,-0.09499931
60441841,203.015106,-36.127466,0.20000076,-0.049999237,0.10699844,-0.5269985,0.08300018
61324327,198.433308,-31.211912,0.69599915,0.6890011,0.20100021,-0.46500015,0.47099876
61382796,204.808466,-33.171206,0.23000145,-0.28100014,0.024000168,-0.47300148,0.005001068
61487804,194.339139,-29.487715,0.34999943,0.84399986,0.7920008,-0.4430008,0.022000313
61747173,204.141462,-25.767719,-0.09499931,1.4009991,0.12800026,-0.5090008,0.55200005
61976462,212.468983,-38.507816,-0.07100105,0.30599976,0.040000916,-0.4449997,-0.24500084
63543583,219.807582,-28.538243,1.1459999,0.41899967,0.49699974,-0.40899944,0.30999947
63576216,219.528655,-27.310971,0.7539997,0.31799984,0.024000168,-0.47000027,0.048000336
63719945,217.626966,-25.877236,-0.027000427,0.9119997,0.2680006,-0.52400017,0.55700016
65251277,188.052304,-7.557385,0.21299934,-0.17300034,0.042001724,-0.64100075,0.3390007
65344614,185.196164,-6.188101,1.1520004,0.28299904,0.061000824,-0.67500114,-0.13099861
66524949,213.702799,-14.671041,0.43499947,1.368,0.34399986,-0.5270004,0.8140001
67028698,209.350111,-10.401544,0.79800034,0.43400002,0.012001038,-0.6860008,0.020999908
67149961,212.459378,-9.466018,1.0100002,0.059000015,0.061000824,-0.41200066,0.1949997
67291512,211.643859,-5.468124,0.32999992,-0.10000038,0.036001205,-0.48800087,-0.0049991608
68114463,173.300499,1.140265,0.42900085,-0.010000229,0.010000229,-0.45899963,0.0019989014
73949844,242.503393,-25.436184,-0.048999786,-0.1969986,0.038999557,-0.45300102,0.31299973
88183780,251.924442,-30.489581,1.1890011,0.50499916,0.42100048,-0.5130005,0.5640001
89452148,253.591507,-27.192644,0.9939995,0.27199936,0.040000916,-0.45800018,0.17300034
89568864,255.505178,-27.512775,1.2390003,0.32400036,0.17199993,-0.54800034,0.7449999
99862691,225.205455,-8.746415,0.18100166,-0.07600021,0.04099846,-0.68699837,0.34599876
100002225,232.301079,-10.274606,-0.012001038,-0.29999924,0.28100014,-0.40299988,0.72999954
100297121,234.275576,-11.052899,0.84399986,0.29400063,0.017999649,-0.6569996,0.52400017
103368189,243.758484,-14.965944,-0.1970005,0.39500046,0.1609993,-0.59599876,0.16499901
103506150,249.146108,-15.909641,-0.14900017,0.42300034,0.10599899,-0.48399925,0.084999084
104562210,255.983209,-25.605054,0.38100052,0.24699974,0.024999619,-0.6119995,0.09000015
104689926,256.598598,-24.560928,0.89299965,0.7090006,0.26000023,-0.5290003,0.41800022
